id,text,user,created_at
1654553907362766850,"She’s back 😁🟠🔵

#Illini I #HTTO I @jessmcdowell7 https://t.co/25CbysBqHJ",IlliniTrackXC,2023-05-05 18:29:26+00:00
1654544384874905600,"Reppin’ orange at home today 🔶

#Illini | #HTTO https://t.co/Oh5eb2Axdd",IlliniSB,2023-05-05 17:51:35+00:00
1654543839804235778,"Florida State 3, Illinois 2  

1 - Yeah lost 6-4, 6-0 ❌
2 - Heuser even 7-6, 3-6, 5-4
3 - Frazier lost 6-4, 6-3 ❌
4 - Treiber won 6-3, 6-4 ✅
5 - Martinez lost 7-5, 1-6, 6-4 ❌
6 - Ferrari even 6-7, 6-2, 4-5

#Illini | #HTTO",IlliniWTennis,2023-05-05 17:49:26+00:00
1654540056500097030,"Forcing hands!

@WilliamMroz1 wins his second set 6-2 to force a third set 👏

#Illini 3
Arizona State 1

#HTTO https://t.co/riNGuKzpEI",IlliniMTennis,2023-05-05 17:34:23+00:00
1654539559818936320,"What it means: #Illini land three-star QB Trey Petty

https://t.co/sIqPViv6xi",JWerner247,2023-05-05 17:32:25+00:00
1654539251063685128,"HE CAN'T STOP 

Kenta Miyoshi takes his third-straight win 6-2, 6-3 to give Illinois a cushion lead!

#Illini 3
Arizona State 1

#HTTO https://t.co/PcqAp1OdGm",IlliniMTennis,2023-05-05 17:31:11+00:00
1654537119149314053,"🆙 one!

Alex Petrov takes his second set, 6-2 to give the lllini the lead!

#Illini 2
Arizona State 1

#HTTO https://t.co/RYCc3Uqj2q",IlliniMTennis,2023-05-05 17:22:43+00:00
1654536522794778625,"KC ➡️ ORL

Last week was unbelievable, full of memories I’ll never forget!

And a lot of air miles. 

#NFLDraft | #famILLy | #Illini https://t.co/kDoqDZP3lo",zaltfilms,2023-05-05 17:20:21+00:00
1654536309749194759,"Florida State 3, Illinois 2

1 - Yeah lost 6-4, 6-0 ❌
2 - Heuser even 7-6, 3-6, 3-1 
3 - Frazier lost 6-4, 6-3 ❌
4 - Treiber won 6-3, 6-4 ✅
5 - Martinez lost 7-5, 1-6, 6-4 ❌
6 - Ferrari even 7-6, 2-6, 1-2

#Illini | #HTTO",IlliniWTennis,2023-05-05 17:19:30+00:00
1654533984703881226,"Make that a tie match 😎

@HunterHeck9 takes his second set 6-1 to even the match up at one a piece!

#Illini 1
Arizona State 1

#HTTO https://t.co/Vu6akloaxz",IlliniMTennis,2023-05-05 17:10:16+00:00
1654533236385538049,"Singles update:

1 - Yeah lost 6-4, 6-0 ❌
2 - Heuser even 7-6, 3-6, 1-1
3 - Frazier lost 6-4, 6-3 ❌
4 - Treiber won 6-3, 6-4 ✅
5 - Martinez even 5-7, 6-1, 4-4 
6 - Ferrari even 7-6, 2-6, 0-0

#Illini | #HTTO",IlliniWTennis,2023-05-05 17:07:17+00:00
1654531540179615767,"Putting players in the league. 

#Illini // #HTTO // #famILLy https://t.co/6QEsr5OAH0",IlliniFootball,2023-05-05 17:00:33+00:00
1654528917212889088,"Treiber ties it at 2-2!

1 - Yeah lost 6-4, 6-0 ❌
2 - Heuser up 7-6, 1-4 
3 - Frazier lost 6-4, 6-3 ❌
4 - Treiber won 6-3, 6-4 ✅
5 - Martinez even 5-7, 6-1, 1-2 
6 - Ferrari up 7-6, 2-2

#Illini | #HTTO https://t.co/iFudpyof40",IlliniWTennis,2023-05-05 16:50:08+00:00
1654525640534523931,"Florida State 2, #Illini 1

1 - Yeah lost 6-4, 6-0 ❌
2 - Heuser up 7-6, 1-3
3 - Frazier lost 6-4, 6-3 ❌
4 - Treiber up 6-3, 4-5
5 - Martinez even 5-7, 6-1, 1-0
6 - Ferrari up 7-6, 2-2",IlliniWTennis,2023-05-05 16:37:06+00:00
1654521785583570944,"We see you @AdaliaMckenzie 👀

@UofIllinois 

#Illini | #HTTO | #OneWay 
https://t.co/iruF7Kiqwv",IlliniWBB,2023-05-05 16:21:47+00:00
1654521415591133190,"#Illini 1, Florida State 1

1 - Yeah lost 6-4, 6-0 ❌
2 - Heuser up 7-6
3 - Frazier down 4-6, 3-3
4 - Treiber up 6-3, 3-3
5 - Martinez down 7-5, 4-0
6 - Ferrari up 7-6",IlliniWTennis,2023-05-05 16:20:19+00:00
1654518769006391297,"Behind the Shield with @avrey_steiner!

#Illini | #HTTO https://t.co/FVGUjgLdUW",IlliniSB,2023-05-05 16:09:48+00:00
1654518532921516034,"Let's prove something

#Illini | #HTTO https://t.co/0j0wiAMHYP",IlliniMTennis,2023-05-05 16:08:52+00:00
1654507771188969472,@JaylinRogers2 @JWren87 @wade_pierce @warren_rowan @PJ247Sports @Rebels247 My guys @IlliniFootball @BretBielema @AaronHenry7 @Coach_BMiller @wardth09 You need to check this kid out.  He's interested in #illini #culture #fam Great kid and tons of talent on the OL/DL,SCCentral21,2023-05-05 15:26:06+00:00
1654501559953137664,"The journey starts here

#Illini | #HTTO https://t.co/bvLxQ0J0dN",IlliniMTennis,2023-05-05 15:01:25+00:00
1654501295548424196,"Let's go win a few singles matches!

📊/💻 - https://t.co/sH38itdkwc

#Illini | #HTTO https://t.co/97rXWkV6Fd",IlliniWTennis,2023-05-05 15:00:22+00:00
1654500865229594625,"Doubles point to the #ILLINI!

1 - Heuser/Casati - 6-1 ❌
2 - Frazier/Yeah - 6-4 ✅
3 - Ferrari/Martinez - 7-5 ✅ https://t.co/54dg4F5z1g",IlliniWTennis,2023-05-05 14:58:40+00:00
1654500696580841482,"The Farrell Files Illinois - Big QB Commit with News &amp; Notes

@mfarrellsports reports that ""it was a huge recruiting win Thursday as the Illini picked up a commitment from QB Trey Petty.""

#Illini @QBTPetty @BarryLunneyJr  

https://t.co/oYMCQFVLKA",Illini_Guys,2023-05-05 14:57:59+00:00
1654492329980338176,"Finally, @FenwickAD 2025 prospect @AllNateMarshall is starting to get a handle of the craziness of recruiting. He holds 17 offers and Illinois, Notre Dame, Purdue and Iowa all impressed in recent visits. #Illini #GoIrish #Hawkeyes #BoilerUp 

https://t.co/8Y3f5nDppU",mdwojak94,2023-05-05 14:24:45+00:00
1654490629374656514,".@SFHSFBWheaton @alessiomilivoj1 has earned a lot of interest from different schools. Illinois' top-rated quarterback 2024 prospect is trying to impress everyone he sees as he continues to build relationships. #Illini #ETOUGH #AyZiggy

https://t.co/8Y3f5nDppU",mdwojak94,2023-05-05 14:17:59+00:00
1654488809952690181,"@ICCPFootball @erickarner .@MCHS__FBALL @Aaustin05 is enjoying the second part of his recruitment since decommitting from Wisconsin. He's got officials visits set for Illinois and Kansas as he's looking for a staff that can take him to the next level. #Illini #RockChalk #BoilerUp 

https://t.co/8Y3f5nDppU",mdwojak94,2023-05-05 14:10:45+00:00
1654486303424102400,"Come early for the free BBQ, stay for the action!

🆚 Michigan State
📍 Illinois Field
⏰ 6 PM CT
📺 B1G+
📊 https://t.co/QBIbykZMFY

#Illini | #HTTO https://t.co/omgjUCkUmJ",IlliniBaseball,2023-05-05 14:00:48+00:00
1654485837910794244,"👀 My Bum Summer

- Will @MySoxSummer join The Bums on a permanent basis? 

- Is there an audience for an #Illini show?

- Does MSS like our junk?  

All these questions are answered and more on this week’s #TheBumCast 

 https://t.co/NBJ4U2qdsd https://t.co/Q5tphAf4M4",ChiSportsBums,2023-05-05 13:58:57+00:00
